id,name,rtt,message
21,FernChimpanzee,0.450000,Hello!
0,ManateeCurlew,0.489300,Hello!
20,DenimTapir,0.269600,Hello!
16,BlushArmadillo,1.256100,Hello!
27,WhiteSardine,0.388900,Hello!
18,AlmondCheetah,0.568600,Hello!
31,FuchsiaFalcon,0.717600,Hello!
53,DenimLocust,0.863300,Hello!
25,DandelionKoala,0.832100,Hello!
61,TanFlamingo,0.299700,Hello!
36,MagentaManatee,0.294400,Hello!
70,BeaverPanther,0.531600,Hello!
63,PlumOryx,0.302200,Hello!
89,CarminePartridge,0.700400,Hello!
35,DenimCheetah,0.804900,Hello!
55,OrangeScorpion,0.370700,Hello!
85,ManateeCobra,0.404500,Hello!
81,BlackElephant,0.871400,Hello!
42,ChestnutLlama,0.470800,Hello!
54,MelonBarracuda,0.063200,Hello!
6,FuchsiaCassowary,0.696800,Hello!
12,CeruleanDuck,0.502700,Hello!
17,ApricotCaterpillar,0.048200,Hello!
88,MagentaWoodcock,0.369100,Hello!
56,WhiteCaribou,0.378600,Hello!
51,CopperElephant,0.984400,Hello!
3,ManateeWorm,0.704400,Hello!
90,CeruleanOkapi,0.759600,Hello!
99,GoldenrodOpossum,0.314100,Hello!
2,PeachOkapi,1.051900,Hello!
23,FernGiraffe,0.778400,Hello!
38,FuchsiaHorse,1.238900,Hello!
43,DenimSalamander,1.205000,Hello!
57,TanSwallow,0.822200,Hello!
68,GrayShrew,0.663600,Hello!
41,CeriseSkunk,0.306500,Hello!
1,ShadowPigeon,0.310300,Hello!
65,SalmonLemur,0.522200,Hello!
83,WisteriaMallard,0.853300,Hello!
48,GoldenrodStork,0.075700,Hello!
78,GoldenrodOctopus,0.210400,Hello!
87,ShamrockReindeer,0.113700,Hello!
50,ScarletMink,0.605900,Hello!
64,ShadowEland,1.071800,Hello!
33,BlackCrab,0.570800,Hello!
29,AquamarineDove,0.525700,Hello!
58,ApricotArmadillo,0.603100,Hello!
92,ShamrockPartridge,0.990900,Hello!
10,CarmineHuman,0.595100,Hello!
82,WisteriaWolf,0.442400,Hello!
39,DandelionKookabura,0.441100,Hello!
77,ChestnutMonkey,0.323500,Hello!
30,ManateeChicken,0.478400,Hello!
66,PlumGrouse,0.480200,Hello!
71,OrchidWallaby,0.789300,Hello!
97,PeachCobra,0.814200,Hello!
80,ManateePig,0.610700,Hello!
46,MahoganyGoldfinch,0.178700,Hello!
93,BlushChimpanzee,0.550800,Hello!
49,BlushAnteater,0.607800,Hello!
76,GreenWren,0.872300,Hello!
14,ScarletChicken,0.150500,Hello!
8,CeruleanTrout,0.803300,Hello!
4,SalmonWoodpecker,0.522100,Hello!
5,AquamarineParrot,0.428000,Hello!
72,PeachSpoonbill,0.534800,Hello!
98,BrownPig,0.211700,Hello!
52,PlumWren,0.965300,Hello!
9,RedSandpiper,0.237800,Hello!
96,BrownOkapi,0.147300,Hello!
60,FernCormorant,0.338100,Hello!
37,PlumTrout,0.917600,Hello!
24,MagentaChinchilla,0.301900,Hello!
26,SalmonAnt,0.673800,Hello!
94,PeachFlamingo,1.129000,Hello!
13,MagentaCattle,0.109600,Hello!
44,DandelionWalrus,0.134900,Hello!
79,TanWren,0.688700,Hello!
40,WisteriaGaur,0.785700,Hello!
34,MulberryRail,0.429400,Hello!
47,ShamrockAntelope,0.193700,Hello!
74,ScarletWalrus,0.568400,Hello!
67,PeriwinkleOpossum,0.138500,Hello!
